time,R,H,I,E,S
3.144434,35,0,45,133,9787
3.159809,35,0,45,134,9786
3.165253,35,0,46,133,9786
3.201119,35,0,46,134,9785
3.214121,35,0,46,135,9784
3.218364,35,0,47,134,9784
3.221807,35,0,48,133,9784
3.225105,36,0,47,133,9784
3.225231,36,0,48,132,9784
3.283512,36,0,48,133,9783
3.285429,36,0,48,134,9782
3.342365,36,0,48,135,9781
3.347983,36,0,49,134,9781
3.353942,36,0,49,135,9780
3.357066,36,0,50,134,9780
3.400893,36,0,50,135,9779
3.409693,36,0,50,136,9778
3.425457,36,0,50,137,9777
3.470077,37,0,49,137,9777
3.473358,37,0,49,138,9776
3.484725,38,0,48,138,9776
3.499941,38,0,48,139,9775
3.504679,38,0,49,138,9775
3.507039,38,0,49,139,9774
3.510357,38,0,50,138,9774
3.531630,38,0,51,137,9774
3.546939,38,0,52,136,9774
3.547916,38,0,52,137,9773
3.574601,39,0,51,137,9773
3.588342,39,0,51,138,9772
3.596596,39,0,52,137,9772
3.600608,40,0,51,137,9772
3.614125,40,0,51,138,9771
3.631451,41,0,50,138,9771
3.637101,41,0,51,137,9771
3.648659,41,0,52,136,9771
3.655174,42,0,51,136,9771
3.680621,42,0,51,137,9770
3.691163,42,0,52,136,9770
3.695859,42,0,52,137,9769
3.716092,42,0,52,138,9768
3.718888,42,0,53,137,9768
3.723183,42,0,53,138,9767
3.727463,43,0,52,138,9767
3.728048,43,0,53,137,9767
3.734213,43,0,54,136,9767
3.740725,43,0,55,135,9767
3.757846,43,0,55,136,9766
3.760482,43,0,55,137,9765
3.763022,43,0,55,138,9764
3.779489,43,0,55,139,9763
3.800136,43,0,56,138,9763
3.807668,43,0,57,137,9763
3.819445,43,0,57,138,9762
3.825104,43,0,57,139,9761
3.826285,43,0,57,140,9760
3.826523,43,0,58,139,9760
3.832606,44,0,57,139,9760
3.840447,45,0,56,139,9760
3.843855,45,0,57,138,9760
3.851472,45,0,58,137,9760
3.866526,45,0,58,138,9759
3.886585,45,0,59,137,9759
3.891352,45,0,59,138,9758
3.902320,45,0,60,137,9758
3.931237,45,0,60,138,9757
3.933309,45,0,60,139,9756
3.965742,45,0,61,138,9756
3.977813,46,0,60,138,9756
3.988316,46,0,60,139,9755
3.989538,47,0,59,139,9755
3.998852,47,0,59,140,9754
3.999015,47,0,59,141,9753
4.015235,47,0,60,140,9753
4.016802,47,0,61,139,9753
4.039116,47,0,62,138,9753
4.113067,47,0,62,139,9752
4.114862,47,0,62,140,9751
4.116981,47,0,62,141,9750
4.119131,47,0,62,142,9749
4.124558,47,0,62,143,9748
4.138248,47,0,63,142,9748
4.139135,47,0,64,141,9748
4.140725,47,0,64,142,9747
4.148134,47,0,64,143,9746
4.191159,48,0,63,143,9746
4.191677,48,0,64,142,9746
4.193160,48,0,64,143,9745
4.193630,48,0,64,144,9744
4.202682,48,0,64,145,9743
4.208090,48,0,64,146,9742
4.213046,49,0,63,146,9742
4.225045,49,0,63,147,9741
4.232655,49,0,64,146,9741
4.240723,49,0,64,147,9740
4.244497,49,0,64,148,9739
4.246528,50,0,63,148,9739
4.252747,50,0,64,147,9739
4.253816,50,0,64,148,9738
4.254186,50,0,64,149,9737
4.269574,50,0,65,148,9737
4.274417,50,0,66,147,9737
4.288679,50,0,67,146,9737
4.305994,50,0,68,145,9737
4.306806,50,0,69,144,9737
4.329344,50,0,70,143,9737
4.331780,50,0,70,144,9736
4.333525,50,0,70,145,9735
4.334302,51,0,69,145,9735
4.347713,51,0,70,144,9735
4.351018,51,0,70,145,9734
4.367086,51,0,70,146,9733
4.378024,51,0,70,147,9732
4.382130,52,0,69,147,9732
4.396822,52,0,69,148,9731
4.418572,52,0,69,149,9730
4.428069,52,0,69,150,9729
4.432786,52,0,70,149,9729
4.447240,52,0,70,150,9728
4.448370,52,0,70,151,9727
4.460559,52,0,70,152,9726
4.463741,52,0,70,153,9725
4.466648,52,0,70,154,9724
4.479712,52,0,71,153,9724
4.502670,52,0,72,152,9724
4.505423,52,0,72,153,9723
4.509422,52,0,73,152,9723
4.515386,52,0,73,153,9722
4.519817,52,0,73,154,9721
4.520605,53,0,72,154,9721
4.536890,53,0,72,155,9720
4.543026,54,0,71,155,9720
4.545520,55,0,70,155,9720
4.565004,56,0,69,155,9720
4.580832,56,0,69,156,9719
4.593183,56,0,70,155,9719
4.608721,56,0,70,156,9718
4.611885,56,0,70,157,9717
4.623892,56,0,71,156,9717
4.638795,56,0,72,155,9717
4.646804,56,0,73,154,9717
4.655203,56,0,74,153,9717
4.655684,57,0,73,153,9717
4.661806,57,0,73,154,9716
4.669533,57,0,73,155,9715
4.669851,58,0,72,155,9715
4.687855,58,0,72,156,9714
4.690442,58,0,72,157,9713
4.703904,58,0,73,156,9713
4.705740,58,0,73,157,9712
4.716795,58,0,74,156,9712
4.738047,58,0,74,157,9711
4.743037,58,0,74,158,9710
4.746038,58,0,74,159,9709
4.752421,58,0,74,160,9708
4.755214,58,0,75,159,9708
4.760528,58,0,76,158,9708
4.767876,58,0,76,159,9707
4.782579,58,0,76,160,9706
4.787258,58,0,77,159,9706
4.794641,58,0,77,160,9705
4.801456,58,0,78,159,9705
4.804053,59,0,77,159,9705
4.810383,59,0,78,158,9705
4.811020,59,0,78,159,9704
4.811218,59,0,78,160,9703
4.833293,59,0,78,161,9702
4.834505,59,0,78,162,9701
4.838774,60,0,77,162,9701
4.864331,61,0,76,162,9701
4.906795,61,0,76,163,9700
4.909915,62,0,75,163,9700
4.917513,62,0,76,162,9700
4.917966,62,0,76,163,9699
4.919230,62,0,77,162,9699
4.924920,62,0,78,161,9699
4.932247,63,0,77,161,9699
4.934410,63,0,77,162,9698
4.942126,63,0,77,163,9697
4.955453,64,0,76,163,9697
4.978603,65,0,75,163,9697
4.980200,65,0,75,164,9696
4.980655,65,0,75,165,9695
4.995127,65,0,76,164,9695
5.003579,65,0,76,165,9694
5.010969,65,0,76,166,9693
5.026005,65,0,76,167,9692
5.059785,65,0,76,168,9691
5.066212,65,0,76,169,9690
5.101900,65,0,77,168,9690
5.103007,65,0,77,169,9689
5.109014,66,0,76,169,9689
5.118076,66,0,77,168,9689
5.134455,67,0,76,168,9689
5.135980,67,0,76,169,9688
5.143500,67,0,77,168,9688
5.147259,67,0,77,169,9687
5.156615,68,0,76,169,9687
5.190334,68,0,76,170,9686
5.193519,68,0,77,169,9686
5.201770,69,0,76,169,9686
5.213740,69,0,76,170,9685
5.217485,69,0,76,171,9684
5.229318,69,0,76,172,9683
5.235587,70,0,75,172,9683
5.253735,71,0,74,172,9683
5.257714,72,0,73,172,9683
5.261356,72,0,74,171,9683
5.268683,72,0,74,172,9682
5.292416,72,0,75,171,9682
5.295082,72,0,75,172,9681
5.298306,73,0,74,172,9681
5.307431,73,0,74,173,9680
5.310850,73,0,75,172,9680
5.323064,73,0,75,173,9679
5.325963,73,0,76,172,9679
5.340723,74,0,75,172,9679
5.342009,74,0,75,173,9678
5.343957,74,0,76,172,9678
5.345630,74,0,76,173,9677
5.357579,74,0,76,174,9676
5.361100,74,0,77,173,9676
5.361119,74,0,77,174,9675
5.366223,74,0,77,175,9674
5.376651,74,0,77,176,9673
5.382556,74,0,77,177,9672
5.384591,75,0,76,177,9672
5.391152,75,0,76,178,9671
5.392139,75,0,76,179,9670
5.396949,75,0,76,180,9669
5.397380,76,0,75,180,9669
5.399526,76,0,76,179,9669
5.417342,76,0,77,178,9669
5.428208,76,0,77,179,9668
5.432189,76,0,78,178,9668
5.453759,77,0,77,178,9668
5.464437,77,0,78,177,9668
5.464666,77,0,78,178,9667
5.467551,77,0,78,179,9666
5.476463,77,0,79,178,9666
5.477998,78,0,78,178,9666
5.485382,78,0,79,177,9666
5.490002,78,0,80,176,9666
5.493537,79,0,79,176,9666
5.495877,79,0,80,175,9666
5.515261,79,0,80,176,9665
5.524418,80,0,79,176,9665
5.531321,80,0,79,177,9664
5.532892,81,0,78,177,9664
5.535637,81,0,78,178,9663
5.564967,81,0,78,179,9662
5.571131,81,0,78,180,9661
5.575109,81,0,79,179,9661
5.606819,81,0,79,180,9660
5.611332,81,0,80,179,9660
5.621410,81,0,80,180,9659
5.631565,81,0,81,179,9659
5.643047,81,0,81,180,9658
5.643137,82,0,80,180,9658
5.651181,82,0,80,181,9657
5.652183,82,0,80,182,9656
5.654646,82,0,80,183,9655
5.655270,82,0,80,184,9654
5.658288,82,0,80,185,9653
5.667485,82,0,80,186,9652
5.675879,82,0,81,185,9652
5.681345,83,0,80,185,9652
5.692099,83,0,80,186,9651
5.693260,83,0,81,185,9651
5.701198,83,0,81,186,9650
5.701416,84,0,80,186,9650
5.719325,85,0,79,186,9650
5.722934,85,0,80,185,9650
5.730203,86,0,79,185,9650
5.735913,87,0,78,185,9650
5.739689,87,0,78,186,9649
5.740162,87,0,78,187,9648
5.740877,87,0,79,186,9648
5.750315,87,0,79,187,9647
5.760538,87,0,80,186,9647
5.761840,87,0,80,187,9646
5.785692,87,0,80,188,9645
5.787642,88,0,79,188,9645
5.788492,89,0,78,188,9645
5.804705,89,0,78,189,9644
5.806094,89,0,78,190,9643
5.819564,89,0,78,191,9642
5.830251,89,0,78,192,9641
5.835616,89,0,78,193,9640
5.838166,90,0,77,193,9640
5.842793,90,0,77,194,9639
5.844944,90,0,77,195,9638
5.845388,90,0,77,196,9637
5.847724,90,0,78,195,9637
5.856702,90,0,78,196,9636
5.868869,91,0,77,196,9636
5.869451,91,0,77,197,9635
5.880651,92,0,76,197,9635
5.897770,92,0,77,196,9635
5.905118,93,0,76,196,9635
5.916616,93,0,76,197,9634
5.919501,94,0,75,197,9634
5.925594,95,0,74,197,9634
5.931828,95,0,75,196,9634
5.933002,95,0,76,195,9634
5.936252,95,0,76,196,9633
5.946601,95,0,77,195,9633
5.948244,95,0,78,194,9633
5.974365,95,0,78,195,9632
5.978037,95,0,79,194,9632
5.981337,95,0,80,193,9632
5.999285,95,0,81,192,9632
6.004175,95,0,81,193,9631
6.012194,95,0,81,194,9630
6.013235,95,0,82,193,9630
6.015368,95,0,82,194,9629
6.044994,96,0,81,194,9629
6.048833,97,0,80,194,9629
6.050625,97,0,80,195,9628
6.054146,98,0,79,195,9628
6.056614,99,0,78,195,9628
6.085357,100,0,77,195,9628
6.086668,100,0,77,196,9627
6.092471,100,0,77,197,9626
6.093038,100,0,77,198,9625
6.094405,101,0,76,198,9625
6.100967,102,0,75,198,9625
6.147119,102,0,75,199,9624
6.186592,102,0,76,198,9624
6.189192,102,0,76,199,9623
6.198516,102,0,77,198,9623
6.219565,102,0,78,197,9623
6.234496,102,0,78,198,9622
6.239347,103,0,77,198,9622
6.260805,103,0,78,197,9622
6.263893,104,0,77,197,9622
6.265229,104,0,77,198,9621
6.272021,104,0,77,199,9620
6.273248,105,0,76,199,9620
6.276151,105,0,77,198,9620
6.285470,105,0,77,199,9619
6.300457,105,0,77,200,9618
6.302096,105,0,78,199,9618
6.306915,105,0,79,198,9618
6.309403,105,0,79,199,9617
6.312326,105,0,79,200,9616
6.316550,105,0,79,201,9615
6.334294,105,0,80,200,9615
6.344075,105,0,80,201,9614
6.344174,105,0,81,200,9614
6.385056,106,0,80,200,9614
6.395261,106,0,80,201,9613
6.405431,106,0,81,200,9613
6.409863,106,0,81,201,9612
6.423449,106,0,81,202,9611
6.425901,106,0,82,201,9611
6.426052,107,0,81,201,9611
6.427419,107,0,82,200,9611
6.436742,107,0,82,201,9610
6.440786,107,0,83,200,9610
6.442707,107,0,84,199,9610
6.444380,107,0,84,200,9609
6.458902,107,0,85,199,9609
6.466043,107,0,85,200,9608
6.471294,107,0,85,201,9607
6.476894,107,0,86,200,9607
6.499919,108,0,85,200,9607
6.511712,108,0,86,199,9607
6.516788,108,0,86,200,9606
6.546568,109,0,85,200,9606
6.562871,109,0,86,199,9606
6.564870,109,0,87,198,9606
6.575584,109,0,88,197,9606
6.579132,110,0,87,197,9606
6.582728,111,0,86,197,9606
6.582860,111,0,86,198,9605
6.585911,112,0,85,198,9605
6.601255,113,0,84,198,9605
6.601380,113,0,84,199,9604
6.607171,113,0,84,200,9603
6.625886,113,0,85,199,9603
